Date,BlockShape,Color,Region,QuantitySold,Revenue
2025-01-05,Z,Green,North,10.0,1150.0
2025-03-10,I,Purple,South,7.0,875.0
2025-03-15,L,Blue,West,20.0,2780.0
2025-02-23,I,Purple,East,16.0,2352.0
2025-03-30,T,Red,East,3.0,258.0
2025-01-19,T,Red,North,6.0,702.0
2025-03-09,Z,Green,North,1.0,111.0
2025-04-01,Z,Green,West,17.0,1700.0
2025-03-09,Z,Green,North,7.0,826.0
2025-01-07,L,Blue,West,12.0,1380.0
2025-01-28,Z,Green,South,8.0,848.0
2025-02-09,Z,Green,West,13.0,1703.0
2025-02-17,O,Yellow,South,16.0,1376.0
2025-02-07,T,Red,East,10.0,1090.0
2025-03-17,Z,Green,North,8.0,1136.0
2025-03-08,L,Blue,South,4.0,372.0
2025-01-25,T,Red,West,19.0,2337.0
2025-02-24,I,Purple,East,11.0,1309.0
2025-01-29,I,Purple,East,9.0,738.0
2025-02-17,T,Red,East,14.0,1638.0
2025-02-04,Z,Green,South,10.0,930.0
2025-02-17,Z,Green,South,2.0,198.0
2025-01-11,I,Purple,North,17.0,2074.0
2025-01-10,I,Purple,North,5.0,595.0
2025-01-26,Z,Green,North,13.0,1469.0
2025-02-15,L,Blue,South,12.0,1692.0
2025-01-30,I,Purple,East,3.0,351.0
2025-01-10,O,Yellow,East,13.0,1105.0
2025-03-05,I,Purple,South,16.0,2000.0
2025-01-28,L,Blue,West,20.0,1700.0
2025-02-08,I,Purple,South,2.0,284.0
2025-02-27,L,Blue,North,12.0,1044.0
2025-01-15,T,Red,South,16.0,1904.0
2025-01-23,O,Yellow,South,11.0,968.0
2025-01-25,I,Purple,West,16.0,1344.0
2025-03-29,L,Blue,East,19.0,1577.0
2025-02-05,Z,Green,North,5.0,595.0
2025-03-28,I,Purple,North,10.0,1230.0
2025-01-31,O,Yellow,West,13.0,1547.0
2025-01-07,O,Yellow,East,2.0,274.0
2025-01-12,L,Blue,East,5.0,735.0
2025-01-30,O,Yellow,North,8.0,1160.0
2025-03-20,T,Red,East,9.0,864.0
2025-04-01,Z,Green,North,5.0,705.0
2025-01-23,L,Blue,South,12.0,1740.0
2025-04-01,T,Red,South,4.0,352.0
2025-02-05,Z,Green,East,1.0,126.0
2025-01-13,L,Blue,West,3.0,315.0
2025-03-11,Z,Green,West,2.0,296.0
2025-01-02,T,Red,North,19.0,1653.0
2025-01-26,O,Yellow,South,11.0,891.0
2025-01-10,Z,Green,West,3.0,348.0
2025-03-20,L,Blue,East,2.0,168.0
2025-02-10,L,Blue,South,20.0,2560.0
2025-03-16,O,Yellow,West,11.0,1606.0
2025-03-15,I,Purple,North,7.0,1043.0
2025-01-23,T,Red,North,17.0,1717.0
2025-04-01,Z,Green,South,4.0,424.0
2025-01-02,O,Yellow,West,4.0,572.0
2025-03-19,T,Red,West,20.0,2200.0
2025-02-04,O,Yellow,West,1.0,129.0
2025-02-16,Z,Green,East,2.0,288.0
2025-01-10,Z,Green,South,14.0,1666.0
2025-03-15,T,Red,West,10.0,1340.0
2025-01-25,L,Blue,West,6.0,582.0
2025-03-25,T,Red,East,16.0,2016.0
2025-01-07,I,Purple,North,4.0,560.0
2025-01-19,Z,Green,East,14.0,1358.0
2025-02-28,T,Red,South,15.0,2025.0
2025-03-29,Z,Green,East,9.0,1143.0
2025-03-10,O,Yellow,West,14.0,1316.0
2025-01-08,O,Yellow,North,8.0,664.0
2025-01-04,T,Red,West,8.0,920.0
2025-03-25,I,Purple,West,12.0,1356.0
2025-02-24,I,Purple,East,14.0,1260.0
2025-01-17,L,Blue,North,13.0,1573.0
2025-01-12,L,Blue,North,13.0,1157.0
2025-02-15,I,Purple,East,20.0,2580.0
2025-01-02,T,Red,West,12.0,1440.0
2025-03-05,I,Purple,North,7.0,1015.0
2025-03-30,L,Blue,East,10.0,930.0
2025-03-23,O,Yellow,West,3.0,267.0
2025-01-20,I,Purple,East,18.0,2448.0
2025-03-07,L,Blue,East,5.0,450.0
2025-02-19,O,Yellow,East,14.0,1722.0
2025-03-18,Z,Green,East,10.0,820.0
2025-01-18,Z,Green,South,18.0,2268.0
2025-02-03,O,Yellow,South,4.0,572.0
2025-02-20,I,Purple,West,18.0,2394.0
2025-02-02,L,Blue,West,3.0,417.0
2025-03-07,T,Red,East,17.0,2091.0
2025-02-23,I,Purple,East,5.0,610.0
2025-01-27,O,Yellow,North,12.0,1776.0
2025-02-09,I,Purple,West,4.0,432.0
2025-03-09,L,Blue,East,9.0,1143.0
2025-03-01,L,Blue,West,3.0,351.0
2025-03-14,I,Purple,South,13.0,1534.0
2025-01-06,I,Purple,South,11.0,1034.0
2025-01-27,Z,Green,East,5.0,740.0
2025-01-16,O,Yellow,South,12.0,996.0
2025-01-19,I,Purple,North,14.0,1988.0
2025-02-13,L,Blue,West,10.0,840.0
2025-03-24,L,Blue,West,2.0,272.0
2025-01-19,Z,Green,North,17.0,2346.0
2025-02-19,I,Purple,West,6.0,726.0
2025-03-21,L,Blue,East,3.0,300.0
2025-02-14,T,Red,West,14.0,1484.0
2025-03-19,Z,Green,North,5.0,670.0
2025-02-07,L,Blue,South,10.0,1330.0
2025-01-02,Z,Green,South,8.0,944.0
2025-03-18,L,Blue,North,4.0,380.0
2025-03-21,I,Purple,South,12.0,1104.0
2025-02-25,Z,Green,South,7.0,889.0
2025-02-28,L,Blue,West,5.0,525.0
2025-03-03,O,Yellow,South,16.0,1680.0
2025-03-15,L,Blue,East,2.0,188.0
